Olink ID*	UniProt ID	Protein name	Gene name
OID42941	Q9UGI9	5'-AMP-activated protein kinase subunit gamma-3	PRKAG3
OID42942	P31321	cAMP-dependent protein kinase type I-beta regulatory subunit	PRKAR1B
OID42943	Q04759	Protein kinase C theta type	PRKCQ
OID42944	Q9BZL6	Serine/threonine-protein kinase D2	PRKD2
OID42945	O75569	Interferon-inducible double-stranded RNA-dependent protein kinase activator A	PRKRA
OID42946	Q9UNN8	Endothelial protein C receptor	PROCR
OID42947	O43490	Prominin-1	PROM1
OID42948	P41219	Peripherin	PRPH
OID42949	Q8IV56	Proline-rich protein 15	PRR15
OID42950	P86496	Proline-rich protein 20A	PRR20A
OID42951	P86481	Proline-rich protein 20B	PRR20B
OID42952	A6NEV1	Proline-rich protein 23A	PRR23A
OID42953	P85299	Proline-rich protein 5	PRR5
OID42954	Q96M27	Protein PRRC1	PRRC1
OID42955	Q9GZN4	Brain-specific serine protease 4	PRSS22
OID42956	Q9NRG1	Phosphoribosyltransferase domain-containing protein 1	PRTFDC1
OID42957	Q8WUY3	Protein prune homolog 2	PRUNE2
OID42958	P25786	Proteasome subunit alpha type-1	PSMA1
OID42959	P17980	26S proteasome regulatory subunit 6A	PSMC3
OID42960	Q16401	26S proteasome non-ATPase regulatory subunit 5	PSMD5
OID42961	O95456	Proteasome assembly chaperone 1	PSMG1
OID42962	Q6PGN9	Proline/serine-rich coiled-coil protein 1	PSRC1
OID42963	P60484	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN
OID42964	E9PB15	Putative protein PTGES3L	PTGES3L
OID42965	O75365	Protein tyrosine phosphatase type IVA 3	PTP4A3
OID42966	Q8WUK0	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1	PTPMT1
OID42967	P43378	Tyrosine-protein phosphatase non-receptor type 9	PTPN9
OID42968	Q03393	6-pyruvoyl tetrahydrobiopterin synthase	PTS
OID42969	O95997	Securin	PTTG1
OID42970	P49023	Paxillin	PXN
OID42971	P10082	Peptide YY	PYY
OID42972	Q14088	Ras-related protein Rab-33A	RAB33A
OID42973	O95755	Ras-related protein Rab-36	RAB36
OID42974	Q96AX2	Ras-related protein Rab-37	RAB37
OID42975	Q96DA2	Ras-related protein Rab-39B	RAB39B
OID42976	Q15042	Rab3 GTPase-activating protein catalytic subunit	RAB3GAP1
OID42977	Q7Z6P3	Ras-related protein Rab-44	RAB44
OID42978	Q9NRW1	Ras-related protein Rab-6B	RAB6B
OID42979	Q7Z6M1	Rab9 effector protein with kelch motifs	RABEPK
OID42980	Q5R372	Rab GTPase-activating protein 1-like	RABGAP1L
OID42981	P60763	Ras-related C3 botulinum toxin substrate 3	RAC3
OID42982	P54727	UV excision repair protein RAD23 homolog B	RAD23B
OID42983	Q06609	DNA repair protein RAD51 homolog 1	RAD51
OID42984	Q5JS13	Ras-specific guanine nucleotide-releasing factor RalGPS1	RALGPS1
OID42985	O60895	Receptor activity-modifying protein 2	RAMP2
OID42986	P49792	E3 SUMO-protein ligase RanBP2	RANBP2
OID42987	P46060	Ran GTPase-activating protein 1	RANGAP1
OID42988	P62834	Ras-related protein Rap-1A	RAP1A
OID42989	P47736	Rap1 GTPase-activating protein 1	RAP1GAP
OID42990	P52306	Rap1 GTPase-GDP dissociation stimulator 1	RAP1GDS1
OID42991	P49788	Retinoic acid receptor responder protein 1	RARRES1
OID42992	P20936	Ras GTPase-activating protein 1	RASA1
OID42993	Q13972	Ras-specific guanine nucleotide-releasing factor 1	RASGRF1
OID42994	P50749	Ras association domain-containing protein 2	RASSF2
OID42995	A6NFN3	RNA binding protein fox-1 homolog 3	RBFOX3
OID42996	Q9Y4C8	Probable RNA-binding protein 19	RBM19
OID42997	P49756	RNA-binding protein 25	RBM25
OID42998	P98179	RNA-binding protein 3	RBM3
OID42999	P09455	Retinol-binding protein 1	RBP1
OID43000	Q5TC82	Roquin-1	RC3H1
OID43001	P18754	Regulator of chromosome condensation	RCC1
OID43002	Q9UKL0	REST corepressor 1	RCOR1
OID43003	Q01201	Transcription factor RelB	RELB
OID43004	P51606	N-acylglucosamine 2-epimerase	RENBP
OID43005	Q96D71	RalBP1-associated Eps domain-containing protein 1	REPS1
OID43006	Q13127	RE1-silencing transcription factor	REST
OID43007	Q9Y3B8	Oligoribonuclease, mitochondrial	REXO2
OID43008	Q8WZ73	E3 ubiquitin-protein ligase rififylin	RFFL
OID43009	P48378	DNA-binding protein RFX2	RFX2
OID43010	O15211	Ral guanine nucleotide dissociation stimulator-like 2	RGL2
OID43011	P57771	Regulator of G-protein signaling 8	RGS8
OID43012	Q6R327	Rapamycin-insensitive companion of mTOR	RICTOR
OID43013	Q5EBL4	RILP-like protein 1	RILPL1
OID43014	A6NDU8	RAB7A-interacting MON1-CCZ1 complex subunit 1	RIMOC1
OID43015	P57078	Receptor-interacting serine/threonine-protein kinase 4	RIPK4
OID43016	Q8NCN4	E3 ubiquitin-protein ligase RNF169	RNF169
OID43017	Q96BH1	E3 ubiquitin-protein ligase RNF25	RNF25
OID43018	Q96EP0	E3 ubiquitin-protein ligase RNF31	RNF31
OID43019	P78317	E3 ubiquitin-protein ligase RNF4	RNF4
OID43020	O75150	E3 ubiquitin-protein ligase BRE1B	RNF40
OID43021	Q9H4P4	E3 ubiquitin-protein ligase NRDP1	RNF41
OID43022	Q68DV7	E3 ubiquitin-protein ligase RNF43	RNF43
OID43023	Q92753	Nuclear receptor ROR-beta	RORB
OID43024	P15927	Replication protein A 32 kDa subunit	RPA2
OID43025	Q13156	Replication protein A 30 kDa subunit	RPA4
OID43026	Q9H6T3	RNA polymerase II-associated protein 3	RPAP3
OID43027	Q96AT9	Ribulose-phosphate 3-epimerase	RPE
OID43028	Q92834	X-linked retinitis pigmentosa GTPase regulator	RPGR
OID43029	Q9Y2J0	Rabphilin-3A	RPH3A
OID43030	Q9NQG5	Regulation of nuclear pre-mRNA domain-containing protein 1B	RPRD1B
OID43031	P46783	40S ribosomal protein S10	RPS10
OID43032	P10301	Ras-related protein R-Ras	RRAS
OID43033	P31350	Ribonucleoside-diphosphate reductase subunit M2	RRM2
OID43034	Q7LG56	Ribonucleoside-diphosphate reductase subunit M2 B	RRM2B
OID43035	P56182	Ribosomal RNA processing protein 1 homolog A	RRP1
OID43036	Q9Y3B9	RRP15-like protein	RRP15
OID43037	Q8IZC4	Rhotekin-2	RTKN2
OID43038	Q9Y265	RuvB-like 1	RUVBL1
OID43039	Q8N488	RING1 and YY1-binding protein	RYBP
OID43040	P21817	Ryanodine receptor 1	RYR1
OID43041	Q9HCY8	Protein S100-A14	S100A14
OID43042	P33764	Protein S100-A3	S100A3
OID43043	P10523	S-arrestin	SAG
OID43044	Q8IZD0	Sterile alpha motif domain-containing protein 14	SAMD14
OID43045	O00422	Histone deacetylase complex subunit SAP18	SAP18
OID43046	O43290	U4/U6.U5 tri-snRNP-associated protein 1	SART1
OID43047	Q6UVJ0	Spindle assembly abnormal protein 6 homolog	SASS6
OID43048	P21673	Diamine acetyltransferase 1	SAT1
OID43049	Q96F10	Thialysine N-epsilon-acetyltransferase	SAT2
OID43050	Q9H4B6	Protein salvador homolog 1	SAV1
OID43051	Q8IVN8	Somatomedin-B and thrombospondin type-1 domain-containing protein	SBSPON
OID43052	Q8WTV0	Scavenger receptor class B member 1	SCARB1
OID43053	Q13296	Mammaglobin-A	SCGB2A2
OID43054	O76038	Secretagogin	SCGN
OID43055	Q9Y6U3	Scinderin	SCIN
OID43056	O60939	Sodium channel subunit beta-2	SCN2B
OID43057	Q9NY46	Sodium channel protein type 3 subunit alpha	SCN3A
OID43058	Q9NY72	Sodium channel subunit beta-3	SCN3B
OID43059	P22307	Sterol carrier protein 2	SCP2
OID43060	P09683	Secretin	SCT
OID43061	Q8IZQ5	Selenoprotein H	SELENOH
OID43062	Q9BVL4	Protein adenylyltransferase SelO, mitochondrial	SELENOO
OID43063	Q16181	Septin-7	SEPTIN7
OID43064	P36952	Serpin B5	SERPINB5
OID43065	P50454	Serpin H1	SERPINH1
OID43066	Q8IWL1	Pulmonary surfactant-associated protein A2	SFTPA2
OID43067	Q96ES7	SAGA-associated factor 29	SGF29
OID43068	Q9UQQ2	SH2B adapter protein 3	SH2B3
OID43069	Q9UJC5	SH3 domain-binding glutamic acid-rich-like protein 2	SH3BGRL2
OID43070	O60239	SH3 domain-binding protein 5	SH3BP5
OID43071	Q7L8J4	SH3 domain-binding protein 5-like	SH3BP5L
OID43072	Q5HYK7	SH3 domain-containing protein 19	SH3D19
OID43073	Q99963	Endophilin-A3	SH3GL3
OID43074	P29353	SHC-transforming protein 1	SHC1
OID43075	Q92529	SHC-transforming protein 3	SHC3
OID43076	Q96IW2	SH2 domain-containing adapter protein D	SHD
OID43077	Q9UHJ6	Sedoheptulokinase	SHPK
OID43078	Q149N8	E3 ubiquitin-protein ligase SHPRH	SHPRH
OID43079	Q6ZMC9	Sialic acid-binding Ig-like lectin 15	SIGLEC15
OID43080	Q96FS4	Signal-induced proliferation-associated protein 1	SIPA1
OID43081	Q96EB6	NAD-dependent protein deacetylase sirtuin-1	SIRT1
OID43082	Q9NXA8	NAD-dependent protein deacylase sirtuin-5, mitochondrial	SIRT5
OID43083	Q9Y3P8	Signaling threshold-regulating transmembrane adapter 1	SIT1
OID43084	Q15477	Helicase SKI2W	SKIC2
OID43085	Q13291	Signaling lymphocytic activation molecule	SLAMF1
OID43086	Q96DU3	SLAM family member 6	SLAMF6
OID43087	Q9P0V8	SLAM family member 8	SLAMF8
OID43088	P55011	Solute carrier family 12 member 2	SLC12A2
OID43089	P53985	Monocarboxylate transporter 1	SLC16A1
OID43090	P43007	Neutral amino acid transporter A	SLC1A4
OID43091	Q6P1M0	Long-chain fatty acid transport protein 4	SLC27A4
OID43092	O00337	Sodium/nucleoside cotransporter 1	SLC28A1
OID43093	Q8N130	Sodium-dependent phosphate transport protein 2C	SLC34A3
OID43094	Q15043	Metal cation symporter ZIP14	SLC39A14
OID43095	Q9NP59	Solute carrier family 40 member 1	SLC40A1
OID43096	Q53GD3	Choline transporter-like protein 4	SLC44A4
OID43097	Q86UW2	Organic solute transporter subunit beta	SLC51B
OID43098	Q9GZT3	SRA stem-loop-interacting RNA-binding protein, mitochondrial	SLIRP
OID43099	O94813	Slit homolog 2 protein	SLIT2
OID43100	Q9H2G2	STE20-like serine/threonine-protein kinase	SLK
OID43101	Q15797	Mothers against decapentaplegic homolog 1	SMAD1
OID43102	Q15796	Mothers against decapentaplegic homolog 2	SMAD2
OID43103	P51531	Probable global transcription activator SNF2L2	SMARCA2
OID43104	Q9UQE7	Structural maintenance of chromosomes protein 3	SMC3
OID43105	P49901	Sperm mitochondrial-associated cysteine-rich protein	SMCP
OID43106	Q9NY59	Sphingomyelin phosphodiesterase 3	SMPD3
OID43107	P52788	Spermine synthase	SMS
OID43108	P60880	Synaptosomal-associated protein 25	SNAP25
OID43109	P55769	NHP2-like protein 1	SNU13
OID43110	Q9BX66	Sorbin and SH3 domain-containing protein 1	SORBS1
OID43111	Q96PQ0	VPS10 domain-containing receptor SorCS2	SORCS2
OID43112	Q6X4U4	Sclerostin domain-containing protein 1	SOSTDC1
OID43113	Q2M3V2	Ankyrin repeat domain-containing protein SOWAHA	SOWAHA
OID43114	O95416	Transcription factor SOX-14	SOX14
OID43115	P48431	Transcription factor SOX-2	SOX2
OID43116	P48436	Transcription factor SOX-9	SOX9
OID43117	Q15506	Sperm surface protein Sp17	SPA17
OID43118	Q96QH8	Sperm acrosome-associated protein 5	SPACA5
OID43119	Q07617	Sperm-associated antigen 1	SPAG1
OID43120	Q9UBP0	Spastin	SPAST
OID43121	Q8TC71	Mitochondria-eating protein	SPATA18
OID43122	Q8IUW3	Spermatogenesis-associated protein 2-like protein	SPATA2L
OID43123	P0C7L1	Serine protease inhibitor Kazal-type 8	SPINK8
OID43124	Q8WWL2	Protein spire homolog 2	SPIRE2
OID43125	Q7Z698	Sprouty-related, EVH1 domain-containing protein 2	SPRED2
OID43126	Q9H741	SREBP regulating gene protein	SPRING1
OID43127	P22528	Cornifin-B	SPRR1B
OID43128	O43597	Protein sprouty homolog 2	SPRY2
OID43129	O15020	Spectrin beta chain, non-erythrocytic 2	SPTBN2
OID43130	Q9C0H9	SRC kinase signaling inhibitor 1	SRCIN1
OID43131	O75044	SLIT-ROBO Rho GTPase-activating protein 2	SRGAP2
OID43132	P05455	Lupus La protein	SSB
OID43133	Q04837	Single-stranded DNA-binding protein, mitochondrial	SSBP1
OID43134	Q8TE77	Protein phosphatase Slingshot homolog 3	SSH3
OID43135	Q92185	Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase	ST8SIA1
OID43136	O95793	Double-stranded RNA-binding protein Staufen homolog 1	STAU1
OID43137	Q687X5	Metalloreductase STEAP4	STEAP4
OID43138	Q9Y6E0	Serine/threonine-protein kinase 24	STK24
OID43139	Q9UJZ1	Stomatin-like protein 2, mitochondrial	STOML2
OID43140	O14662	Syntaxin-16	STX16
OID43141	P61266	Syntaxin-1B	STX1B
OID43142	Q13190	Syntaxin-5	STX5
OID43143	O43752	Syntaxin-6	STX6
OID43144	O00186	Syntaxin-binding protein 3	STXBP3
OID43145	Q9Y2K9	Syntaxin-binding protein 5-like	STXBP5L
OID43146	Q9Y2Z0	Protein SGT1 homolog	SUGT1
OID43147	Q8NBK3	Formylglycine-generating enzyme	SUMF1
OID43148	Q15527	Surfeit locus protein 2	SURF2
OID43149	Q6UWL2	Sushi domain-containing protein 1	SUSD1
OID43150	A8MT33	Synaptonemal complex central element protein 1-like	SYCE1L
OID43151	O95926	Pre-mRNA-splicing factor SYF2	SYF2
OID43152	Q96PV0	Ras/Rap GTPase-activating protein SynGAP	SYNGAP1
OID43153	O15061	Synemin	SYNM
OID43154	Q9NYJ8	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2	TAB2
OID43155	O75529	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L	TAF5L
OID43156	Q9UI15	Transgelin-3	TAGLN3
OID43157	Q92844	TRAF family member-associated NF-kappa-B activator	TANK
OID43158	Q03518	Antigen peptide transporter 1	TAP1
OID43159	Q15633	RISC-loading complex subunit TARBP2	TARBP2
OID43160	B6A8C7	T-cell-interacting, activating receptor on myeloid cells protein 1	TARM1
OID43162	Q9HA65	TBC1 domain family member 17	TBC1D17
OID43163	Q9BYX2	TBC1 domain family member 2A	TBC1D2
OID43164	O60907	F-box-like/WD repeat-containing protein TBL1X	TBL1X
OID43165	Q16650	T-box brain protein 1	TBR1
OID43166	Q96MN5	Transcription elongation factor A N-terminal and central domain-containing protein 2	TCEANC2
OID43167	Q8WWU5	T-complex protein 11 homolog	TCP11
OID43168	P13385	Teratocarcinoma-derived growth factor 1	TDGF1
OID43169	P48775	Tryptophan 2,3-dioxygenase	TDO2
OID43170	Q9Y2W6	Tudor and KH domain-containing protein	TDRKH
OID43171	O75443	Alpha-tectorin	TECTA
OID43172	Q10587	Thyrotroph embryonic factor	TEF
OID43173	Q8NDF8	Terminal nucleotidyltransferase 4B	TENT4B
OID43174	P54274	Telomeric repeat-binding factor 1	TERF1
OID43175	Q9NYB0	Telomeric repeat-binding factor 2-interacting protein 1	TERF2IP
OID43176	Q9UGI8	Testin	TES
OID43177	Q6N021	Methylcytosine dioxygenase TET2	TET2
OID43178	O43247	Testis-expressed protein 33	TEX33
OID43179	Q5T0J7	Testis-expressed protein 35	TEX35
OID43180	Q00059	Transcription factor A, mitochondrial	TFAM
OID43181	P05549	Transcription factor AP-2-alpha	TFAP2A
OID43182	O43548	Protein-glutamine gamma-glutamyltransferase 5	TGM5
OID43183	Q9P2Z0	THAP domain-containing protein 10	THAP10
OID43184	O43422	52 kDa repressor of the inhibitor of the protein kinase	THAP12
OID43185	Q8WTV1	THAP domain-containing protein 3	THAP3
OID43186	P0DJG4	Testicular haploid expressed gene protein-like	THEGL
OID43188	Q9NS62	Thrombospondin type-1 domain-containing protein 1	THSD1
OID43189	Q9P016	Thymocyte nuclear protein 1	THYN1
OID43190	P31483	Cytotoxic granule associated RNA binding protein TIA1	TIA1
OID43191	Q495A1	T-cell immunoreceptor with Ig and ITIM domains	TIGIT
OID43192	O95049	Tight junction protein ZO-3	TJP3
OID43193	P04183	Thymidine kinase, cytosolic	TK1
OID43194	O60603	Toll-like receptor 2	TLR2
OID43195	O00206	Toll-like receptor 4	TLR4
OID43196	Q96EY4	Translation machinery-associated protein 16	TMA16
OID43197	Q8N6Q1	Transmembrane and coiled-coil domain-containing protein 5A	TMCO5A
OID43198	Q13445	Transmembrane emp24 domain-containing protein 1	TMED1
OID43199	P49755	Transmembrane emp24 domain-containing protein 10	TMED10
OID43200	Q7Z7H5	Transmembrane emp24 domain-containing protein 4	TMED4
OID43201	Q6UXF1	Transmembrane protein 108	TMEM108
OID43202	Q9NZQ9	Tropomodulin-4	TMOD4
OID43203	Q86T26	Transmembrane protease serine 11B	TMPRSS11B
OID43204	P01375	Tumor necrosis factor	TNF
OID43205	O95379	Tumor necrosis factor alpha-induced protein 8	TNFAIP8
OID43206	Q96RJ3	Tumor necrosis factor receptor superfamily member 13C	TNFRSF13C
OID43207	O95150	Tumor necrosis factor ligand superfamily member 15	TNFSF15
OID43208	P41273	Tumor necrosis factor ligand superfamily member 9	TNFSF9
OID43209	P19429	Troponin I, cardiac muscle	TNNI3
OID43211	O15417	Trinucleotide repeat-containing gene 18 protein	TNRC18
OID43212	Q6ZUX3	TOG array regulator of axonemal microtubules protein 2	TOGARAM2
OID43213	O75674	TOM1-like protein 1	TOM1L1
OID43214	Q969P6	DNA topoisomerase I, mitochondrial	TOP1MT
OID43215	O94900	Thymocyte selection-associated high mobility group box protein TOX	TOX
OID43216	O15405	TOX high mobility group box family member 3	TOX3
OID43217	P04637	Cellular tumor antigen p53	TP53
OID43218	Q12888	TP53-binding protein 1	TP53BP1
OID43219	Q8IXH6	Tumor protein p53-inducible nuclear protein 2	TP53INP2
OID43220	O15350	Tumor protein p73	TP73
OID43221	P0DKB5	Trophoblast glycoprotein-like	TPBGL
OID43222	P06753	Tropomyosin alpha-3 chain	TPM3
OID43223	P51580	Thiopurine S-methyltransferase	TPMT
OID43224	P59282	Tubulin polymerization-promoting protein family member 2	TPPP2
OID43225	Q9BW30	Tubulin polymerization-promoting protein family member 3	TPPP3
OID43226	P12270	Nucleoprotein TPR	TPR
OID43227	Q9Y3C4	EKC/KEOPS complex subunit TPRKB	TPRKB
OID43228	Q4KMQ1	Taperin	TPRN
OID43229	Q9BZJ3	Tryptase delta	TPSD1
OID43231	P13693	Translationally-controlled tumor protein	TPT1
OID43232	Q13114	TNF receptor-associated factor 3	TRAF3
OID43233	O43734	E3 ubiquitin ligase TRAF3IP2	TRAF3IP2
OID43234	Q9UPV9	Trafficking kinesin-binding protein 1	TRAK1
OID43235	Q9Y296	Trafficking protein particle complex subunit 4	TRAPPC4
OID43236	O14717	tRNA (cytosine(38)-C(5))-methyltransferase	TRDMT1
OID43237	O15164	Transcription intermediary factor 1-alpha	TRIM24
OID43238	Q12899	Tripartite motif-containing protein 26	TRIM26
OID43239	Q9HCM9	E3 ubiquitin-protein ligase TRIM39	TRIM39
OID43240	Q6P9F5	E3 ubiquitin ligase TRIM40	TRIM40
OID43241	Q86WT6	E3 ubiquitin-protein ligase TRIM69	TRIM69
OID43242	Q8NET8	Transient receptor potential cation channel subfamily V member 3	TRPV3
OID43243	Q92574	Hamartin	TSC1
OID43244	Q969D9	Thymic stromal lymphopoietin	TSLP
OID43245	O95858	Tetraspanin-15	TSPAN15
OID43246	P41732	Tetraspanin-7	TSPAN7
OID43248	Q16762	Thiosulfate sulfurtransferase	TST
OID43249	Q5TCY1	Tau-tubulin kinase 1	TTBK1
OID43250	Q99614	Tetratricopeptide repeat protein 1	TTC1
OID43251	Q5I0X7	Tetratricopeptide repeat protein 32	TTC32
OID43252	Q9UNY4	Transcription termination factor 2	TTF2
OID43253	Q8WZ42	Titin	TTN
OID43254	Q13509	Tubulin beta-3 chain	TUBB3
OID43255	Q3ZCM7	Tubulin beta-8 chain	TUBB8
OID43256	P42681	Tyrosine-protein kinase TXK	TXK
OID43257	Q8N3L3	Beta-taxilin	TXLNB
OID43258	O43396	Thioredoxin-like protein 1	TXNL1
OID43259	P04818	Thymidylate synthase	TYMS
OID43260	Q9H832	Ubiquitin-conjugating enzyme E2 Z	UBE2Z
OID43261	Q8N7F7	Ubiquitin-like protein 4B	UBL4B
OID43262	Q9H347	Ubiquilin-3	UBQLN3
OID43263	Q8WUN7	Ubiquitin domain-containing protein 2	UBTD2
OID43264	P17480	Nucleolar transcription factor 1	UBTF
OID43265	P0CB47	Upstream-binding factor 1-like protein 1	UBTFL1
OID43266	O60701	UDP-glucose 6-dehydrogenase	UGDH
OID43267	Q9NYU2	UDP-glucose:glycoprotein glucosyltransferase 1	UGGT1
OID43268	A0JNW5	UHRF1-binding protein 1-like	BLTP3B
OID43269	C9J7I0	UBAP1-MVB12-associated	UMAD1
OID43270	Q6UXZ4	Netrin receptor UNC5D	UNC5D
OID43271	Q9P2D8	Protein unc-79 homolog	UNC79
OID43272	Q9H1J1	Regulator of nonsense transcripts 3A	UPF3A
OID43273	B0FP48	Uroplakin-3b-like protein 1	UPK3BL1
OID43274	Q96K76	Ubiquitin carboxyl-terminal hydrolase 47	USP47
OID43275	O95183	Vesicle-associated membrane protein 5	VAMP5
OID43276	Q9H867	Protein N-lysine methyltransferase METTL21D	VCPKMT
OID43277	P32241	Vasoactive intestinal polypeptide receptor 1	VIPR1
OID43278	Q9UK41	Vacuolar protein sorting-associated protein 28 homolog	VPS28
OID43279	Q6UX27	V-set and transmembrane domain-containing protein 1	VSTM1
OID43280	A6NLU5	V-set and transmembrane domain-containing protein 2B	VSTM2B
OID43281	Q96N03	V-set and transmembrane domain-containing protein 2-like protein	VSTM2L
OID43282	Q7Z7D3	V-set domain-containing T-cell activation inhibitor 1	VTCN1
OID43283	O00534	von Willebrand factor A domain-containing protein 5A	VWA5A
OID43284	P42768	Actin nucleation-promoting factor WAS	WAS
OID43285	O00401	Actin nucleation-promoting factor WASL	WASL
OID43286	Q8TF30	WASP homolog-associated protein with actin, membranes and microtubules	WHAMM
OID43287	O14904	Protein Wnt-9a	WNT9A
OID43288	Q2TBF2	WSC domain-containing protein 2	WSCD2
OID43289	P98170	E3 ubiquitin-protein ligase XIAP	XIAP
OID43290	Q13426	DNA repair protein XRCC4	XRCC4
OID43291	Q7Z739	YTH domain-containing family protein 3	YTHDF3
OID43292	P25490	Transcriptional repressor protein YY1	YY1
OID43293	P86452	Zinc finger BED domain-containing protein 6	ZBED6
OID43294	Q05516	Zinc finger and BTB domain-containing protein 16	ZBTB16
OID43295	Q96GY0	Zinc finger C2HC domain-containing protein 1A	ZC2HC1A
OID43296	Q5D1E8	Endoribonuclease ZC3H12A	ZC3H12A
OID43297	Q6NZY4	Zinc finger CCHC domain-containing protein 8	ZCCHC8
OID43298	Q6FIF0	AN1-type zinc finger protein 6	ZFAND6
OID43299	Q9BRR0	Zinc finger protein with KRAB and SCAN domains 3	ZKSCAN3
OID43300	Q9H091	Zinc finger MYND domain-containing protein 15	ZMYND15
OID43301	O43670	BUB3-interacting and GLEBS motif-containing protein ZNF207	ZNF207
OID43302	Q96GC6	Neurotrophin receptor-interacting factor homolog	ZNF274
OID43303	Q2M1K9	Zinc finger protein 423	ZNF423
OID43304	Q7Z3I7	Zinc finger protein 572	ZNF572
OID43305	Q9BS31	Zinc finger protein 649	ZNF649
OID43306	P51815	Zinc finger protein 75D	ZNF75D
OID43307	Q96NB3	Zinc finger protein 830	ZNF830
OID43308	Q8WWF5	E3 ubiquitin-protein ligase ZNRF4	ZNRF4
OID43309	Q12836	Zona pellucida sperm-binding protein 4	ZP4
OID43310	O75312	Zinc finger protein ZPR1	ZPR1
OID43311	Q9H7C9	Mth938 domain-containing protein	AAMDC
OID43312	Q9BTE6	Alanyl-tRNA editing protein Aarsd1	AARSD1
OID43313	Q96IU4	Putative protein-lysine deacylase ABHD14B	ABHD14B
OID43314	Q7Z7G0	Target of Nesh-SH3	ABI3BP
OID43315	P00519	Tyrosine-protein kinase ABL1	ABL1
OID43316	O14639	Actin-binding LIM protein 1	ABLIM1
OID43317	Q9BYF1	Angiotensin-converting enzyme 2	ACE2
OID43318	Q9NPJ3	Acyl-coenzyme A thioesterase 13	ACOT13
OID43319	P24666	Low molecular weight phosphotyrosine protein phosphatase	ACP1
OID43320	Q9NPH0	Lysophosphatidic acid phosphatase type 6	ACP6
OID43321	Q8NEB7	Acrosin-binding protein	ACRBP
OID43322	P26436	Acrosomal protein SP-10	ACRV1
OID43323	P62736	Actin, aortic smooth muscle	ACTA2
OID43324	P35609	Alpha-actinin-2	ACTN2
OID43325	P37023	Serine/threonine-protein kinase receptor R3	ACVRL1
OID43326	P00813	Adenosine deaminase	ADA
OID43327	Q13444	Disintegrin and metalloproteinase domain-containing protein 15	ADAM15
OID43328	Q9P0K1	Disintegrin and metalloproteinase domain-containing protein 22	ADAM22
OID43329	O75077	Disintegrin and metalloproteinase domain-containing protein 23	ADAM23
OID43330	Q13443	Disintegrin and metalloproteinase domain-containing protein 9	ADAM9
OID43331	Q9UHI8	A disintegrin and metalloproteinase with thrombospondin motifs 1	ADAMTS1
OID43332	Q8TE58	A disintegrin and metalloproteinase with thrombospondin motifs 15	ADAMTS15
OID43333	Q6UY14	ADAMTS-like protein 4	ADAMTSL4
OID43334	O14514	Adhesion G protein-coupled receptor B1	ADGRB1
OID43335	O60242	Adhesion G protein-coupled receptor B3	ADGRB3
OID43336	Q14246	Adhesion G protein-coupled receptor E1	ADGRE1
OID43337	Q9BY15	Adhesion G protein-coupled receptor E3	ADGRE3
OID43338	Q9Y653	Adhesion G-protein coupled receptor G1	ADGRG1
OID43339	P35318	Pro-adrenomedullin	ADM
OID43340	P30566	Adenylosuccinate lyase	ADSL
OID43341	Q8TED9	Actin filament-associated protein 1-like 1	AFAP1L1
OID43342	Q5U5Z8	Cytosolic carboxypeptidase 2	AGBL2
OID43343	O95994	Anterior gradient protein 2 homolog	AGR2
OID43344	O00253	Agouti-related protein	AGRP
OID43345	Q09666	Neuroblast differentiation-associated protein AHNAK	AHNAK
OID43346	Q8IVF2	Protein AHNAK2	AHNAK2
OID43347	O95433	Activator of 90 kDa heat shock protein ATPase homolog 1	AHSA1
OID43348	Q9BQI0	Allograft inflammatory factor 1-like	AIF1L
OID43349	O95831	Apoptosis-inducing factor 1, mitochondrial	AIFM1
OID43350	P54819	Adenylate kinase 2, mitochondrial	AK2
OID43351	Q9Y2D5	A-kinase anchor protein 2	AKAP2
OID43352	Q96B36	Proline-rich AKT1 substrate 1	AKT1S1
OID43353	P31751	RAC-beta serine/threonine-protein kinase	AKT2
OID43354	P05091	Aldehyde dehydrogenase, mitochondrial	ALDH2
OID43355	P30838	Aldehyde dehydrogenase, dimeric NADP-preferring	ALDH3A1
OID43356	P51649	Succinate-semialdehyde dehydrogenase, mitochondrial	ALDH5A1
OID43357	P05187	Alkaline phosphatase, placental type	ALPP
OID43358	P02760	Protein AMBP	AMBP
OID43359	Q96NU7	Probable imidazolonepropionase	AMDHD1
OID43360	Q86SJ2	Amphoterin-induced protein 2	AMIGO2
OID43361	Q01432	AMP deaminase 3	AMPD3
OID43362	O15123	Angiopoietin-2	ANGPT2
OID43363	O43827	Angiopoietin-related protein 7	ANGPTL7
OID43364	Q8IV38	Ankyrin repeat and MYND domain-containing protein 2	ANKMY2
OID43365	Q9H8Y5	Ankyrin repeat and zinc finger domain-containing protein 1	ANKZF1
OID43366	O43423	Acidic leucine-rich nuclear phosphoprotein 32 family member C	ANP32C
OID43367	Q9UJ72	Annexin A10	ANXA10
